,Anomaly,ano,mes,mes_num,mes_completo
0,-2.7,1880,jan,1,January
1,-2.33,1880,feb,2,February
2,-1.58,1880,mar,3,March
3,-0.67,1880,apr,4,April
4,0.35,1880,may,5,May
5,0.93,1880,jun,6,June
6,1.21,1880,jul,7,July
7,1.21,1880,aug,8,August
8,0.49,1880,sep,9,September
9,-0.59,1880,,10,October
10,-1.65,1880,nov,11,November
11,-2.38,1880,dec,12,December
12,-2.57,1881,jan,1,January
13,-2.32,1881,feb,2,February
14,-1.43,1881,mar,3,March
15,-0.43,1881,apr,4,April
16,0.49,1881,may,5,May
17,0.96,1881,jun,6,June
18,1.35,1881,jul,7,July
19,1.27,1881,aug,8,August
20,0.51,1881,sep,9,September
21,-0.57,1881,,10,October
22,-1.67,1881,nov,11,November
23,-2.26,1881,dec,12,December
24,-2.27,1882,jan,1,January
25,-2.0,1882,feb,2,February
26,-1.44,1882,mar,3,March
27,-0.66,1882,apr,4,April
28,0.31,1882,may,5,May
29,0.9,1882,jun,6,June
30,1.21,1882,jul,7,July
31,1.24,1882,aug,8,August
32,0.55,1882,sep,9,September
33,-0.61,1882,,10,October
34,-1.61,1882,nov,11,November
35,-2.4,1882,dec,12,December
36,-2.73,1883,jan,1,January
37,-2.54,1883,feb,2,February
38,-1.6,1883,mar,3,March
39,-0.64,1883,apr,4,April
40,0.27,1883,may,5,May
41,1.03,1883,jun,6,June
42,1.34,1883,jul,7,July
43,1.15,1883,aug,8,August
44,0.44,1883,sep,9,September
45,-0.5,1883,,10,October
46,-1.67,1883,nov,11,November
47,-2.31,1883,dec,12,December
48,-2.57,1884,jan,1,January
49,-2.23,1884,feb,2,February
50,-1.84,1884,mar,3,March
51,-0.9,1884,apr,4,April
52,0.1,1884,may,5,May
53,0.75,1884,jun,6,June
54,1.07,1884,jul,7,July
55,1.04,1884,aug,8,August
56,0.38,1884,sep,9,September
57,-0.6,1884,,10,October
58,-1.75,1884,nov,11,November
59,-2.44,1884,dec,12,December
60,-3.0,1885,jan,1,January
61,-2.45,1885,feb,2,February
62,-1.72,1885,mar,3,March
63,-0.89,1885,apr,4,April
64,0.05,1885,may,5,May
65,0.72,1885,jun,6,June
66,1.06,1885,jul,7,July
67,0.98,1885,aug,8,August
68,0.41,1885,sep,9,September
69,-0.55,1885,,10,October
70,-1.65,1885,nov,11,November
71,-2.2,1885,dec,12,December
72,-2.83,1886,jan,1,January
73,-2.6,1886,feb,2,February
74,-1.86,1886,mar,3,March
75,-0.75,1886,apr,4,April
76,0.21,1886,may,5,May
77,0.77,1886,jun,6,June
78,1.2,1886,jul,7,July
79,0.96,1886,aug,8,August
80,0.39,1886,sep,9,September
81,-0.65,1886,,10,October
82,-1.76,1886,nov,11,November
83,-2.42,1886,dec,12,December
84,-3.14,1887,jan,1,January
85,-2.67,1887,feb,2,February
86,-1.81,1887,mar,3,March
87,-0.86,1887,apr,4,April
88,0.15,1887,may,5,May
89,0.92,1887,jun,6,June
90,1.19,1887,jul,7,July
91,0.98,1887,aug,8,August
92,0.42,1887,sep,9,September
93,-0.69,1887,,10,October
94,-1.68,1887,nov,11,November
95,-2.49,1887,dec,12,December
96,-2.79,1888,jan,1,January
97,-2.51,1888,feb,2,February
98,-1.88,1888,mar,3,March
99,-0.69,1888,apr,4,April
100,0.25,1888,may,5,May
101,0.98,1888,jun,6,June
102,1.33,1888,jul,7,July
103,1.14,1888,aug,8,August
104,0.55,1888,sep,9,September
105,-0.34,1888,,10,October
106,-1.44,1888,nov,11,November
107,-2.21,1888,dec,12,December
108,-2.52,1889,jan,1,January
109,-1.96,1889,feb,2,February
110,-1.39,1889,mar,3,March
111,-0.4,1889,apr,4,April
112,0.45,1889,may,5,May
113,1.02,1889,jun,6,June
114,1.32,1889,jul,7,July
115,1.1,1889,aug,8,August
116,0.43,1889,sep,9,September
117,-0.58,1889,,10,October
118,-1.78,1889,nov,11,November
119,-2.45,1889,dec,12,December
120,-2.85,1890,jan,1,January
121,-2.6,1890,feb,2,February
122,-1.87,1890,mar,3,March
123,-0.84,1890,apr,4,April
124,0.02,1890,may,5,May
125,0.89,1890,jun,6,June
126,1.15,1890,jul,7,July
127,0.92,1890,aug,8,August
128,0.26,1890,sep,9,September
129,-0.6,1890,,10,October
130,-1.93,1890,nov,11,November
131,-2.46,1890,dec,12,December
132,-2.83,1891,jan,1,January
133,-2.62,1891,feb,2,February
134,-1.66,1891,mar,3,March
135,-0.75,1891,apr,4,April
136,0.29,1891,may,5,May
137,0.96,1891,jun,6,June
138,1.22,1891,jul,7,July
139,1.14,1891,aug,8,August
140,0.51,1891,sep,9,September
141,-0.57,1891,,10,October
142,-1.8,1891,nov,11,November
143,-2.19,1891,dec,12,December
144,-2.69,1892,jan,1,January
145,-2.27,1892,feb,2,February
146,-1.82,1892,mar,3,March
147,-0.82,1892,apr,4,April
148,0.22,1892,may,5,May
149,0.93,1892,jun,6,June
150,1.1,1892,jul,7,July
151,1.05,1892,aug,8,August
152,0.52,1892,sep,9,September
153,-0.49,1892,,10,October
154,-1.87,1892,nov,11,November
155,-2.54,1892,dec,12,December
156,-3.21,1893,jan,1,January
157,-2.69,1893,feb,2,February
158,-1.7,1893,mar,3,March
159,-0.77,1893,apr,4,April
160,0.11,1893,may,5,May
161,0.87,1893,jun,6,June
162,1.26,1893,jul,7,July
163,1.03,1893,aug,8,August
164,0.45,1893,sep,9,September
165,-0.53,1893,,10,October
166,-1.62,1893,nov,11,November
167,-2.5,1893,dec,12,December
168,-2.95,1894,jan,1,January
169,-2.48,1894,feb,2,February
170,-1.72,1894,mar,3,March
171,-0.95,1894,apr,4,April
