,Anomaly,ano,mes,mes_num,data1,year,co2
0,-2.7,1880,jan,1,1880-1-01,1880,3852.3
1,-2.33,1880,feb,2,1880-2-01,1880,3852.3
2,-1.58,1880,mar,3,1880-3-01,1880,3852.3
3,-0.67,1880,apr,4,1880-4-01,1880,3852.3
4,0.35,1880,may,5,1880-5-01,1880,3852.3
5,0.93,1880,jun,6,1880-6-01,1880,3852.3
6,1.21,1880,jul,7,1880-7-01,1880,3852.3
7,1.21,1880,aug,8,1880-8-01,1880,3852.3
8,0.49,1880,sep,9,1880-9-01,1880,3852.3
9,-0.59,1880,,10,1880-10-01,1880,3852.3
10,-1.65,1880,nov,11,1880-11-01,1880,3852.3
11,-2.38,1880,dec,12,1880-12-01,1880,3852.3
12,-2.57,1881,jan,1,1881-1-01,1881,3973.0
13,-2.32,1881,feb,2,1881-2-01,1881,3973.0
14,-1.43,1881,mar,3,1881-3-01,1881,3973.0
15,-0.43,1881,apr,4,1881-4-01,1881,3973.0
16,0.49,1881,may,5,1881-5-01,1881,3973.0
17,0.96,1881,jun,6,1881-6-01,1881,3973.0
18,1.35,1881,jul,7,1881-7-01,1881,3973.0
19,1.27,1881,aug,8,1881-8-01,1881,3973.0
20,0.51,1881,sep,9,1881-9-01,1881,3973.0
21,-0.57,1881,,10,1881-10-01,1881,3973.0
22,-1.67,1881,nov,11,1881-11-01,1881,3973.0
23,-2.26,1881,dec,12,1881-12-01,1881,3973.0
24,-2.27,1882,jan,1,1882-1-01,1882,4167.6
25,-2.0,1882,feb,2,1882-2-01,1882,4167.6
26,-1.44,1882,mar,3,1882-3-01,1882,4167.6
27,-0.66,1882,apr,4,1882-4-01,1882,4167.6
28,0.31,1882,may,5,1882-5-01,1882,4167.6
29,0.9,1882,jun,6,1882-6-01,1882,4167.6
30,1.21,1882,jul,7,1882-7-01,1882,4167.6
31,1.24,1882,aug,8,1882-8-01,1882,4167.6
32,0.55,1882,sep,9,1882-9-01,1882,4167.6
33,-0.61,1882,,10,1882-10-01,1882,4167.6
34,-1.61,1882,nov,11,1882-11-01,1882,4167.6
35,-2.4,1882,dec,12,1882-12-01,1882,4167.6
36,-2.73,1883,jan,1,1883-1-01,1883,4423.4
37,-2.54,1883,feb,2,1883-2-01,1883,4423.4
38,-1.6,1883,mar,3,1883-3-01,1883,4423.4
39,-0.64,1883,apr,4,1883-4-01,1883,4423.4
40,0.27,1883,may,5,1883-5-01,1883,4423.4
41,1.03,1883,jun,6,1883-6-01,1883,4423.4
42,1.34,1883,jul,7,1883-7-01,1883,4423.4
43,1.15,1883,aug,8,1883-8-01,1883,4423.4
44,0.44,1883,sep,9,1883-9-01,1883,4423.4
45,-0.5,1883,,10,1883-10-01,1883,4423.4
46,-1.67,1883,nov,11,1883-11-01,1883,4423.4
47,-2.31,1883,dec,12,1883-12-01,1883,4423.4
48,-2.57,1884,jan,1,1884-1-01,1884,4449.1
49,-2.23,1884,feb,2,1884-2-01,1884,4449.1
50,-1.84,1884,mar,3,1884-3-01,1884,4449.1
51,-0.9,1884,apr,4,1884-4-01,1884,4449.1
52,0.1,1884,may,5,1884-5-01,1884,4449.1
53,0.75,1884,jun,6,1884-6-01,1884,4449.1
54,1.07,1884,jul,7,1884-7-01,1884,4449.1
