 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Jun/2019
"Unidade da Federação";"Internações"
"11 Rondônia";153
"12 Acre";111
"13 Amazonas";422
"14 Roraima";94
"15 Pará";608
"16 Amapá";91
"17 Tocantins";143
"21 Maranhão";555
"22 Piauí";306
"23 Ceará";893
"24 Rio Grande do Norte";278
"25 Paraíba";257
"26 Pernambuco";623
"27 Alagoas";257
"28 Sergipe";176
"29 Bahia";1193
"31 Minas Gerais";1108
"32 Espírito Santo";222
"33 Rio de Janeiro";884
"35 São Paulo";2208
"41 Paraná";637
"42 Santa Catarina";477
"43 Rio Grande do Sul";521
"50 Mato Grosso do Sul";137
"51 Mato Grosso";215
"52 Goiás";260
"53 Distrito Federal";165
"Total";12994
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
