 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Jul/2019
"Unidade da Federação";"Internações"
"11 Rondônia";141
"12 Acre";182
"13 Amazonas";474
"14 Roraima";145
"15 Pará";522
"16 Amapá";92
"17 Tocantins";129
"21 Maranhão";567
"22 Piauí";275
"23 Ceará";838
"24 Rio Grande do Norte";307
"25 Paraíba";276
"26 Pernambuco";689
"27 Alagoas";234
"28 Sergipe";192
"29 Bahia";1221
"31 Minas Gerais";1154
"32 Espírito Santo";242
"33 Rio de Janeiro";920
"35 São Paulo";2391
"41 Paraná";708
"42 Santa Catarina";481
"43 Rio Grande do Sul";509
"50 Mato Grosso do Sul";139
"51 Mato Grosso";284
"52 Goiás";274
"53 Distrito Federal";174
"Total";13560
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
