 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Set/2019
"Unidade da Federação";"Internações"
"11 Rondônia";168
"12 Acre";101
"13 Amazonas";363
"14 Roraima";104
"15 Pará";670
"16 Amapá";115
"17 Tocantins";188
"21 Maranhão";541
"22 Piauí";314
"23 Ceará";774
"24 Rio Grande do Norte";288
"25 Paraíba";309
"26 Pernambuco";693
"27 Alagoas";285
"28 Sergipe";153
"29 Bahia";1369
"31 Minas Gerais";1214
"32 Espírito Santo";248
"33 Rio de Janeiro";1130
"35 São Paulo";2469
"41 Paraná";819
"42 Santa Catarina";578
"43 Rio Grande do Sul";539
"50 Mato Grosso do Sul";135
"51 Mato Grosso";292
"52 Goiás";293
"53 Distrito Federal";195
"Total";14347
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
