 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Nov/2019
"Unidade da Federação";"Internações"
"11 Rondônia";149
"12 Acre";97
"13 Amazonas";385
"14 Roraima";102
"15 Pará";644
"16 Amapá";78
"17 Tocantins";131
"21 Maranhão";577
"22 Piauí";348
"23 Ceará";768
"24 Rio Grande do Norte";327
"25 Paraíba";295
"26 Pernambuco";794
"27 Alagoas";241
"28 Sergipe";245
"29 Bahia";1412
"31 Minas Gerais";1252
"32 Espírito Santo";223
"33 Rio de Janeiro";1166
"35 São Paulo";2411
"41 Paraná";751
"42 Santa Catarina";591
"43 Rio Grande do Sul";541
"50 Mato Grosso do Sul";170
"51 Mato Grosso";283
"52 Goiás";289
"53 Distrito Federal";147
"Total";14417
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
