 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Dez/2019
"Unidade da Federação";"Internações"
"11 Rondônia";176
"12 Acre";84
"13 Amazonas";311
"14 Roraima";86
"15 Pará";574
"16 Amapá";116
"17 Tocantins";153
"21 Maranhão";531
"22 Piauí";303
"23 Ceará";822
"24 Rio Grande do Norte";353
"25 Paraíba";280
"26 Pernambuco";754
"27 Alagoas";292
"28 Sergipe";249
"29 Bahia";1227
"31 Minas Gerais";1226
"32 Espírito Santo";272
"33 Rio de Janeiro";968
"35 São Paulo";2495
"41 Paraná";695
"42 Santa Catarina";455
"43 Rio Grande do Sul";488
"50 Mato Grosso do Sul";188
"51 Mato Grosso";255
"52 Goiás";304
"53 Distrito Federal";155
"Total";13812
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
