 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Jan/2020
"Unidade da Federação";"Internações"
"11 Rondônia";174
"12 Acre";99
"13 Amazonas";395
"14 Roraima";89
"15 Pará";546
"16 Amapá";72
"17 Tocantins";145
"21 Maranhão";630
"22 Piauí";411
"23 Ceará";724
"24 Rio Grande do Norte";308
"25 Paraíba";285
"26 Pernambuco";829
"27 Alagoas";273
"28 Sergipe";284
"29 Bahia";1228
"31 Minas Gerais";1254
"32 Espírito Santo";265
"33 Rio de Janeiro";1040
"35 São Paulo";2351
"41 Paraná";823
"42 Santa Catarina";543
"43 Rio Grande do Sul";603
"50 Mato Grosso do Sul";169
"51 Mato Grosso";267
"52 Goiás";255
"53 Distrito Federal";227
"Total";14289
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
