 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Fev/2020
"Unidade da Federação";"Internações"
"11 Rondônia";182
"12 Acre";123
"13 Amazonas";423
"14 Roraima";101
"15 Pará";591
"16 Amapá";143
"17 Tocantins";133
"21 Maranhão";583
"22 Piauí";355
"23 Ceará";782
"24 Rio Grande do Norte";296
"25 Paraíba";279
"26 Pernambuco";651
"27 Alagoas";319
"28 Sergipe";245
"29 Bahia";1235
"31 Minas Gerais";1074
"32 Espírito Santo";218
"33 Rio de Janeiro";1034
"35 São Paulo";2236
"41 Paraná";800
"42 Santa Catarina";453
"43 Rio Grande do Sul";521
"50 Mato Grosso do Sul";191
"51 Mato Grosso";285
"52 Goiás";290
"53 Distrito Federal";187
"Total";13730
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
