 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Mar/2020
"Unidade da Federação";"Internações"
"11 Rondônia";166
"12 Acre";130
"13 Amazonas";424
"14 Roraima";83
"15 Pará";627
"16 Amapá";111
"17 Tocantins";111
"21 Maranhão";546
"22 Piauí";252
"23 Ceará";640
"24 Rio Grande do Norte";331
"25 Paraíba";309
"26 Pernambuco";735
"27 Alagoas";254
"28 Sergipe";218
"29 Bahia";1136
"31 Minas Gerais";1021
"32 Espírito Santo";248
"33 Rio de Janeiro";954
"35 São Paulo";2272
"41 Paraná";597
"42 Santa Catarina";449
"43 Rio Grande do Sul";526
"50 Mato Grosso do Sul";124
"51 Mato Grosso";233
"52 Goiás";242
"53 Distrito Federal";189
"Total";12928
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
