 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Abr/2020
"Unidade da Federação";"Internações"
"11 Rondônia";150
"12 Acre";100
"13 Amazonas";378
"14 Roraima";86
"15 Pará";543
"16 Amapá";37
"17 Tocantins";129
"21 Maranhão";474
"22 Piauí";238
"23 Ceará";744
"24 Rio Grande do Norte";295
"25 Paraíba";286
"26 Pernambuco";549
"27 Alagoas";305
"28 Sergipe";190
"29 Bahia";1030
"31 Minas Gerais";951
"32 Espírito Santo";202
"33 Rio de Janeiro";905
"35 São Paulo";2008
"41 Paraná";676
"42 Santa Catarina";463
"43 Rio Grande do Sul";506
"50 Mato Grosso do Sul";138
"51 Mato Grosso";256
"52 Goiás";253
"53 Distrito Federal";182
"Total";12074
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
