 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Mai/2020
"Unidade da Federação";"Internações"
"11 Rondônia";184
"12 Acre";109
"13 Amazonas";346
"14 Roraima";99
"15 Pará";552
"16 Amapá";81
"17 Tocantins";121
"21 Maranhão";460
"22 Piauí";236
"23 Ceará";723
"24 Rio Grande do Norte";252
"25 Paraíba";246
"26 Pernambuco";581
"27 Alagoas";189
"28 Sergipe";195
"29 Bahia";1002
"31 Minas Gerais";992
"32 Espírito Santo";190
"33 Rio de Janeiro";873
"35 São Paulo";2148
"41 Paraná";621
"42 Santa Catarina";497
"43 Rio Grande do Sul";446
"50 Mato Grosso do Sul";147
"51 Mato Grosso";240
"52 Goiás";249
"53 Distrito Federal";163
"Total";11942
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
