 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Ago/2020
"Unidade da Federação";"Internações"
"11 Rondônia";151
"12 Acre";129
"13 Amazonas";318
"14 Roraima";97
"15 Pará";593
"16 Amapá";100
"17 Tocantins";3
"21 Maranhão";513
"22 Piauí";285
"23 Ceará";712
"24 Rio Grande do Norte";309
"25 Paraíba";255
"26 Pernambuco";618
"27 Alagoas";250
"28 Sergipe";198
"29 Bahia";1147
"31 Minas Gerais";1036
"32 Espírito Santo";196
"33 Rio de Janeiro";944
"35 São Paulo";2229
"41 Paraná";705
"42 Santa Catarina";411
"43 Rio Grande do Sul";477
"50 Mato Grosso do Sul";138
"51 Mato Grosso";252
"52 Goiás";276
"53 Distrito Federal";120
"Total";12462
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
