 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Out/2020
"Unidade da Federação";"Internações"
"11 Rondônia";78
"12 Acre";112
"13 Amazonas";362
"14 Roraima";93
"15 Pará";564
"16 Amapá";44
"17 Tocantins";4
"21 Maranhão";526
"22 Piauí";282
"23 Ceará";793
"24 Rio Grande do Norte";318
"25 Paraíba";309
"26 Pernambuco";660
"27 Alagoas";281
"28 Sergipe";217
"29 Bahia";1323
"31 Minas Gerais";1222
"32 Espírito Santo";224
"33 Rio de Janeiro";1044
"35 São Paulo";2358
"41 Paraná";769
"42 Santa Catarina";503
"43 Rio Grande do Sul";572
"50 Mato Grosso do Sul";132
"51 Mato Grosso";275
"52 Goiás";263
"53 Distrito Federal";159
"Total";13487
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
