 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Dez/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";193;193;108779,39;86944,43;-;-;21834,96;-;-;563,62;563,62;623;3,2;3;1,55
"110037 Alto Alegre dos Parecis";57;57;42379,12;34540,82;-;-;7838,30;-;-;743,49;743,49;276;4,8;1;1,75
"110040 Alto Paraíso";64;64;101003,80;76743,32;298,12;-;23788,05;-;-;1578,18;1578,18;293;4,6;3;4,69
"110034 Alvorada D'Oeste";84;84;38417,48;30858,70;-;-;7558,78;-;-;457,35;457,35;318;3,8;1;1,19
"110002 Ariquemes";604;604;570696,71;449413,41;10331,37;-;105479,27;-;-;944,86;944,86;2473;4,1;13;2,15
"110045 Buritis";149;149;109099,91;86970,19;-;-;22129,72;-;-;732,21;732,21;756;5,1;5;3,36
"110003 Cabixi";50;50;21346,36;16734,60;-;-;4611,76;-;-;426,93;426,93;196;3,9;1;2,00
"110060 Cacaulândia";20;20;50660,10;43553,81;-;-;7106,29;-;-;2533,00;2533,00;158;7,9;1;5,00
"110004 Cacoal";418;418;397952,20;322704,43;-;-;75247,77;-;-;952,04;952,04;2160;5,2;14;3,35
"110070 Campo Novo de Rondônia";56;56;46889,42;38475,41;-;-;8414,01;-;-;837,31;837,31;200;3,6;1;1,79
"110080 Candeias do Jamari";120;120;154965,47;127112,27;-;-;27853,20;-;-;1291,38;1291,38;886;7,4;1;0,83
"110090 Castanheiras";9;9;5035,98;3586,19;-;-;1449,79;-;-;559,55;559,55;41;4,6;-;-
"110005 Cerejeiras";151;151;107052,59;86572,19;-;-;20480,40;-;-;708,96;708,96;772;5,1;3;1,99
"110092 Chupinguaia";33;33;20609,49;16472,51;-;-;4136,98;-;-;624,53;624,53;138;4,2;-;-
"110006 Colorado do Oeste";99;99;59878,23;49128,93;-;-;10749,30;-;-;604,83;604,83;465;4,7;-;-
"110007 Corumbiara";21;21;11098,72;7674,17;-;-;3424,55;-;-;528,51;528,51;74;3,5;-;-
"110008 Costa Marques";77;77;33053,84;26874,92;-;-;6178,92;-;-;429,27;429,27;424;5,5;1;1,30
"110094 Cujubim";122;122;87174,53;72275,91;-;-;14898,62;-;-;714,55;714,55;522;4,3;2;1,64
"110009 Espigão D'Oeste";219;219;140080,26;109695,77;-;-;30384,49;-;-;639,64;639,64;692;3,2;4;1,83
"110100 Governador Jorge Teixeira";24;24;37381,63;30889,77;-;-;6491,86;-;-;1557,57;1557,57;136;5,7;1;4,17
"110010 Guajará-Mirim";296;296;284294,31;232223,95;-;-;52070,36;-;-;960,45;960,45;1490;5,0;9;3,04
"110110 Itapuã do Oeste";33;33;39447,27;31936,32;-;-;7510,95;-;-;1195,37;1195,37;225;6,8;-;-
"110011 Jaru";348;348;197888,18;154717,24;-;-;43170,94;-;-;568,64;568,64;1081;3,1;6;1,72
"110012 Ji-Paraná";744;744;489196,33;383113,56;-;-;106082,77;-;-;657,52;657,52;2981;4,0;25;3,36
"110013 Machadinho D'Oeste";238;238;197904,91;169111,41;-;-;28793,50;-;-;831,53;831,53;1121;4,7;4;1,68
"110120 Ministro Andreazza";42;42;35774,44;29372,64;-;-;6401,80;-;-;851,77;851,77;206;4,9;2;4,76
"110130 Mirante da Serra";50;50;27548,61;22204,22;-;-;5344,39;-;-;550,97;550,97;239;4,8;1;2,00
"110140 Monte Negro";52;52;34082,37;28045,68;-;-;6036,69;-;-;655,43;655,43;221;4,3;4;7,69
"110014 Nova Brasilândia D'Oeste";102;102;47308,63;34892,56;-;-;12416,07;-;-;463,81;463,81;271;2,7;1;0,98
"110033 Nova Mamoré";131;131;83906,04;66211,76;-;-;17694,28;-;-;640,50;640,50;640;4,9;2;1,53
"110143 Nova União";29;29;104276,09;87622,87;-;-;16653,22;-;-;3595,73;3595,73;110;3,8;-;-
"110050 Novo Horizonte do Oeste";51;51;28226,67;22956,20;-;-;5270,47;-;-;553,46;553,46;157;3,1;-;-
"110015 Ouro Preto do Oeste";204;204;171457,61;142779,46;176,38;-;28329,99;-;-;840,48;840,48;846;4,1;9;4,41
"110145 Parecis";62;62;6838,64;5168,48;-;-;1670,16;-;-;110,30;110,30;92;1,5;-;-
