 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Nov/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";234;234;154960,34;129038,66;-;-;25921,68;-;-;662,22;662,22;875;3,7;6;2,56
"110037 Alto Alegre dos Parecis";71;71;66864,02;52051,93;-;-;14812,09;-;-;941,75;941,75;313;4,4;-;-
"110040 Alto Paraíso";49;49;70394,18;54040,57;-;-;16353,61;-;-;1436,62;1436,62;270;5,5;-;-
"110034 Alvorada D'Oeste";80;80;72900,65;59062,06;-;-;13838,59;-;-;911,26;911,26;314;3,9;1;1,25
"110002 Ariquemes";620;620;604745,68;496743,43;3414,32;-;102972,41;-;-;975,40;975,40;2500;4,0;24;3,87
"110045 Buritis";169;169;141831,54;116443,14;-;-;25388,40;-;-;839,24;839,24;632;3,7;6;3,55
"110003 Cabixi";47;47;31218,83;21733,74;-;-;9485,09;-;-;664,23;664,23;131;2,8;1;2,13
"110060 Cacaulândia";18;18;21490,91;19032,68;-;-;2458,23;-;-;1193,94;1193,94;154;8,6;1;5,56
"110004 Cacoal";488;488;439003,48;358191,74;-;-;80811,74;-;-;899,60;899,60;2242;4,6;18;3,69
"110070 Campo Novo de Rondônia";53;53;27587,67;21451,29;-;-;6136,38;-;-;520,52;520,52;236;4,5;-;-
"110080 Candeias do Jamari";131;131;169186,56;136171,71;-;-;33014,85;-;-;1291,50;1291,50;843;6,4;7;5,34
"110090 Castanheiras";16;16;20931,61;16580,99;-;-;4350,62;-;-;1308,23;1308,23;68;4,3;-;-
"110005 Cerejeiras";140;140;62904,24;49815,16;-;-;13089,08;-;-;449,32;449,32;470;3,4;-;-
"110092 Chupinguaia";50;50;46873,60;35529,56;-;-;11344,04;-;-;937,47;937,47;319;6,4;-;-
"110006 Colorado do Oeste";142;142;102012,18;80100,13;-;-;21912,05;-;-;718,40;718,40;597;4,2;3;2,11
"110007 Corumbiara";32;32;17609,21;12731,79;-;-;4877,42;-;-;550,29;550,29;103;3,2;-;-
"110008 Costa Marques";87;87;63936,74;52744,39;-;-;11192,35;-;-;734,91;734,91;255;2,9;3;3,45
"110094 Cujubim";85;85;49853,13;40714,99;-;-;9138,14;-;-;586,51;586,51;364;4,3;2;2,35
"110009 Espigão D'Oeste";236;236;138445,66;112013,25;-;-;26432,41;-;-;586,63;586,63;799;3,4;5;2,12
"110100 Governador Jorge Teixeira";32;32;24425,10;18731,01;-;-;5694,09;-;-;763,28;763,28;121;3,8;1;3,13
"110010 Guajará-Mirim";283;283;212703,53;175636,63;-;-;37066,90;-;-;751,60;751,60;1409;5,0;8;2,83
"110110 Itapuã do Oeste";35;35;34616,68;28441,93;-;-;6174,75;-;-;989,05;989,05;264;7,5;2;5,71
"110011 Jaru";377;377;339194,83;273065,46;1270,15;-;64588,03;-;-;899,72;899,72;1499;4,0;7;1,86
"110012 Ji-Paraná";721;721;587429,05;462527,47;-;-;124901,58;-;-;814,74;814,74;2902;4,0;28;3,88
"110013 Machadinho D'Oeste";201;202;157939,41;128580,03;298,55;-;28924,39;-;-;781,88;785,77;867;4,3;3;1,49
"110120 Ministro Andreazza";34;34;29795,65;24988,08;-;-;4807,57;-;-;876,34;876,34;204;6,0;-;-
"110130 Mirante da Serra";57;57;65277,33;55184,83;-;-;10092,50;-;-;1145,22;1145,22;349;6,1;2;3,51
"110140 Monte Negro";66;66;81278,61;62071,85;-;-;19206,76;-;-;1231,49;1231,49;321;4,9;1;1,52
"110014 Nova Brasilândia D'Oeste";140;140;112000,52;85565,69;-;-;26434,83;-;-;800,00;800,00;550;3,9;3;2,14
