 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Out/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";226;226;113929,09;91852,99;-;-;22076,10;-;-;504,11;504,11;992;4,4;2;0,88
"110037 Alto Alegre dos Parecis";80;80;44854,76;35736,35;-;-;9118,41;-;-;560,68;560,68;320;4,0;3;3,75
"110040 Alto Paraíso";64;64;70325,23;56290,47;-;-;14034,76;-;-;1098,83;1098,83;395;6,2;2;3,13
"110034 Alvorada D'Oeste";80;80;64303,09;51368,34;-;-;12934,75;-;-;803,79;803,79;316;4,0;1;1,25
"110002 Ariquemes";653;653;721167,70;607522,01;-;-;113645,69;-;-;1104,39;1104,39;2914;4,5;17;2,60
"110045 Buritis";131;131;131904,10;104416,78;-;-;27487,32;-;-;1006,90;1006,90;627;4,8;6;4,58
"110003 Cabixi";52;52;29496,60;23802,20;-;-;5694,40;-;-;567,24;567,24;178;3,4;2;3,85
"110060 Cacaulândia";23;23;20210,41;16556,51;-;-;3653,90;-;-;878,71;878,71;116;5,0;1;4,35
"110004 Cacoal";588;588;608639,42;479085,34;-;-;129554,08;-;-;1035,10;1035,10;2841;4,8;29;4,93
"110070 Campo Novo de Rondônia";45;45;109777,64;92564,59;-;-;17213,05;-;-;2439,50;2439,50;247;5,5;4;8,89
"110080 Candeias do Jamari";132;132;227507,84;193189,15;-;-;34318,69;-;-;1723,54;1723,54;924;7,0;8;6,06
"110090 Castanheiras";10;10;5750,40;4265,11;-;-;1485,29;-;-;575,04;575,04;28;2,8;-;-
"110005 Cerejeiras";147;147;113779,29;94394,71;-;-;19384,58;-;-;774,01;774,01;726;4,9;4;2,72
"110092 Chupinguaia";39;39;25405,73;19465,77;-;-;5939,96;-;-;651,43;651,43;202;5,2;1;2,56
"110006 Colorado do Oeste";144;144;111334,30;89284,02;-;-;22050,28;-;-;773,15;773,15;614;4,3;2;1,39
"110007 Corumbiara";28;28;21786,54;16874,04;-;-;4912,50;-;-;778,09;778,09;83;3,0;-;-
"110008 Costa Marques";90;90;46269,31;36735,72;-;-;9533,59;-;-;514,10;514,10;375;4,2;2;2,22
"110094 Cujubim";66;66;34561,00;25856,61;-;-;8704,39;-;-;523,65;523,65;169;2,6;-;-
"110009 Espigão D'Oeste";239;239;140338,57;117401,39;-;-;22937,18;-;-;587,19;587,19;1088;4,6;10;4,18
"110100 Governador Jorge Teixeira";16;16;8003,27;5982,08;-;-;2021,19;-;-;500,20;500,20;45;2,8;-;-
"110010 Guajará-Mirim";318;318;237391,60;191489,60;-;-;45902,00;-;-;746,51;746,51;1514;4,8;12;3,77
"110110 Itapuã do Oeste";30;30;34330,46;27560,73;-;-;6769,73;-;-;1144,35;1144,35;214;7,1;2;6,67
"110011 Jaru";380;380;297058,85;234851,90;-;-;62206,95;-;-;781,73;781,73;1359;3,6;8;2,11
"110012 Ji-Paraná";616;616;725177,88;569236,28;-;-;155941,60;-;-;1177,24;1177,24;2690;4,4;19;3,08
"110013 Machadinho D'Oeste";248;248;230273,70;182642,68;-;-;47631,02;-;-;928,52;928,52;1167;4,7;8;3,23
