 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
110001 Alta Floresta D'Oeste;149;149;101282,26;77693,11;-;-;23589,15;-;-;679,75;679,75;632;4,2;8;5,37;
110037 Alto Alegre dos Parecis;48;48;28696,45;22904,19;-;-;5792,26;-;-;597,84;597,84;188;3,9;1;2,08;
110040 Alto Paraíso;44;44;59875,92;49206,48;-;-;10669,44;-;-;1360,82;1360,82;212;4,8;2;4,55;
110034 Alvorada D'Oeste;30;30;45439,31;34942,75;-;-;10496,56;-;-;1514,64;1514,64;185;6,2;1;3,33;
110002 Ariquemes;416;416;467605,04;373742,93;-;-;93862,11;-;-;1124,05;1124,05;2046;4,9;10;2,4;
110045 Buritis;141;141;147752,24;123578,85;-;-;24173,39;-;-;1047,89;1047,89;639;4,5;10;7,09;
110003 Cabixi;50;50;23603,44;18170,69;-;-;5432,75;-;-;472,07;472,07;184;3,7;-;-;
110060 Cacaulândia;14;14;18483,47;15715,61;-;-;2767,86;-;-;1320,25;1320,25;141;10,1;2;14,29;
110004 Cacoal;366;366;287811,55;230443,22;-;-;57368,33;-;-;786,37;786,37;2219;6,1;11;3,01;
110070 Campo Novo de Rondônia;31;31;15024,85;11865,29;-;-;3159,56;-;-;484,67;484,67;91;2,9;1;3,23;
