 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";97;97;46745,19;37129,74;-;-;9615,45;-;-;481,91;481,91;274;2,8;2;2,06
"110037 Alto Alegre dos Parecis";46;46;25820,55;20066,39;-;-;5754,16;-;-;561,32;561,32;166;3,6;1;2,17
"110040 Alto Paraíso";61;61;97800,55;83505,33;-;-;14295,22;-;-;1603,29;1603,29;317;5,2;5;8,20
"110034 Alvorada D'Oeste";38;38;38144,98;31827,24;-;-;6317,74;-;-;1003,82;1003,82;271;7,1;2;5,26
"110002 Ariquemes";405;405;615811,16;510014,47;-;-;105796,69;-;-;1520,52;1520,52;1494;3,7;12;2,96
"110045 Buritis";78;78;87512,69;72311,03;-;-;15201,66;-;-;1121,96;1121,96;373;4,8;3;3,85
"110003 Cabixi";47;47;28912,50;22012,00;-;-;6900,50;-;-;615,16;615,16;214;4,6;2;4,26
"110060 Cacaulândia";11;11;26651,60;21812,69;-;-;4838,91;-;-;2422,87;2422,87;54;4,9;1;9,09
"110004 Cacoal";377;377;302430,82;240463,69;-;-;61967,13;-;-;802,20;802,20;1710;4,5;13;3,45
"110070 Campo Novo de Rondônia";19;19;54557,60;45674,22;-;-;8883,38;-;-;2871,45;2871,45;66;3,5;1;5,26
"110080 Candeias do Jamari";86;86;354307,65;303778,40;-;-;50529,25;-;-;4119,86;4119,86;745;8,7;8;9,30
"110090 Castanheiras";12;12;17109,42;14293,17;-;-;2816,25;-;-;1425,78;1425,78;85;7,1;1;8,33
"110005 Cerejeiras";58;58;37805,21;28245,55;-;-;9559,66;-;-;651,81;651,81;217;3,7;-;-
"110092 Chupinguaia";21;21;13891,03;8226,61;-;-;5664,42;-;-;661,48;661,48;68;3,2;1;4,76
"110006 Colorado do Oeste";51;51;31481,64;24191,86;-;-;7289,78;-;-;617,29;617,29;178;3,5;2;3,92
"110007 Corumbiara";20;20;16533,80;13249,09;-;-;3284,71;-;-;826,69;826,69;97;4,8;3;15,00
"110008 Costa Marques";36;36;18323,53;13169,98;-;-;5153,55;-;-;508,99;508,99;95;2,6;1;2,78
"110094 Cujubim";51;51;67160,74;56205,59;-;-;10955,15;-;-;1316,88;1316,88;217;4,3;1;1,96
"110009 Espigão D'Oeste";131;131;135378,35;113729,62;-;-;21648,73;-;-;1033,42;1033,42;575;4,4;7;5,34
"110100 Governador Jorge Teixeira";10;10;5836,22;4349,03;-;-;1487,19;-;-;583,62;583,62;34;3,4;-;-
"110010 Guajará-Mirim";284;284;336167,68;267343,46;-;-;68824,22;-;-;1183,69;1183,69;1521;5,4;16;5,63
"110110 Itapuã do Oeste";26;26;54798,63;47512,50;-;-;7286,13;-;-;2107,64;2107,64;172;6,6;3;11,54
"110011 Jaru";245;245;288575,40;232095,67;-;-;56479,73;-;-;1177,86;1177,86;1004;4,1;14;5,71
"110012 Ji-Paraná";436;436;405040,16;323633,22;-;-;81406,94;-;-;928,99;928,99;1738;4,0;20;4,59
"110013 Machadinho D'Oeste";133;133;178587,84;142390,60;-;-;36197,24;-;-;1342,77;1342,77;657;4,9;5;3,76
"110120 Ministro Andreazza";22;22;30949,55;25565,82;-;-;5383,73;-;-;1406,80;1406,80;116;5,3;-;-
"110130 Mirante da Serra";27;27;38906,80;33601,78;-;-;5305,02;-;-;1440,99;1440,99;161;6,0;2;7,41
"110140 Monte Negro";54;54;44535,18;36056,16;-;-;8479,02;-;-;824,73;824,73;232;4,3;-;-
"110014 Nova Brasilândia D'Oeste";46;46;27919,76;21597,72;-;-;6322,04;-;-;606,95;606,95;200;4,3;1;2,17
"110033 Nova Mamoré";97;97;109778,47;87913,19;-;-;21865,28;-;-;1131,74;1131,74;417;4,3;5;5,15
"110143 Nova União";2;2;1085,55;1001,39;-;-;84,16;-;-;542,77;542,77;9;4,5;-;-
"110050 Novo Horizonte do Oeste";23;23;44381,84;37396,34;-;-;6985,50;-;-;1929,65;1929,65;142;6,2;1;4,35
"110015 Ouro Preto do Oeste";40;40;41602,08;30542,59;-;-;11059,49;-;-;1040,05;1040,05;207;5,2;3;7,50
"110145 Parecis";16;16;4784,67;3679,20;-;-;1105,47;-;-;299,04;299,04;26;1,6;1;6,25
"110018 Pimenta Bueno";163;163;108891,82;88908,09;-;-;19983,73;-;-;668,05;668,05;499;3,1;10;6,13
"110146 Pimenteiras do Oeste";13;13;7399,78;5452,56;-;-;1947,22;-;-;569,21;569,21;37;2,8;1;7,69
"110020 Porto Velho";2248;2248;4417977,79;3644981,61;-;-;772996,18;-;-;1965,29;1965,29;14001;6,2;151;6,72
"110025 Presidente Médici";67;67;113712,01;95621,63;-;-;18090,38;-;-;1697,19;1697,19;487;7,3;2;2,99
"110147 Primavera de Rondônia";11;11;4640,86;3895,09;-;-;745,77;-;-;421,90;421,90;30;2,7;-;-
"110026 Rio Crespo";15;15;7512,85;5848,65;-;-;1664,20;-;-;500,86;500,86;60;4,0;-;-
"110028 Rolim de Moura";230;230;131017,02;99752,90;-;-;31264,12;-;-;569,64;569,64;990;4,3;2;0,87
"110029 Santa Luzia D'Oeste";38;38;36296,39;30116,56;-;-;6179,83;-;-;955,17;955,17;176;4,6;2;5,26
"110148 São Felipe D'Oeste";10;10;15313,57;11301,31;-;-;4012,26;-;-;1531,36;1531,36;58;5,8;-;-
"110149 São Francisco do Guaporé";60;60;132692,35;91949,04;-;-;40743,31;-;-;2211,54;2211,54;255;4,3;2;3,33
"110032 São Miguel do Guaporé";79;79;66418,60;54015,75;-;-;12402,85;-;-;840,74;840,74;218;2,8;4;5,06
"110150 Seringueiras";52;52;34223,21;27171,53;-;-;7051,68;-;-;658,14;658,14;218;4,2;-;-
"110155 Teixeirópolis";13;13;6228,89;5200,33;-;-;1028,56;-;-;479,15;479,15;56;4,3;2;15,38
"110160 Theobroma";17;17;11730,71;8831,40;-;-;2899,31;-;-;690,04;690,04;81;4,8;1;5,88
"110170 Urupá";17;17;11410,39;9152,85;-;-;2257,54;-;-;671,20;671,20;46;2,7;-;-
"110175 Vale do Anari";14;14;6418,02;4843,25;-;-;1574,77;-;-;458,43;458,43;105;7,5;-;-
"110180 Vale do Paraíso";7;7;10976,77;9206,88;-;-;1769,89;-;-;1568,11;1568,11;31;4,4;-;-
"110030 Vilhena";599;599;557510,93;441500,49;-;-;116010,44;-;-;930,74;930,74;2528;4,2;36;6,01
"120001 Acrelândia";32;32;38304,05;29262,16;-;-;9041,89;-;-;1197,00;1197,00;197;6,2;1;3,13
"120005 Assis Brasil";37;37;26869,13;20811,63;-;-;6057,50;-;-;726,19;726,19;132;3,6;1;2,70
"120010 Brasiléia";84;84;65418,95;50357,18;-;-;15061,77;-;-;778,80;778,80;299;3,6;3;3,57
"120013 Bujari";15;15;30615,72;24022,70;-;-;6593,02;-;-;2041,05;2041,05;138;9,2;-;-
"120017 Capixaba";30;30;18148,03;13631,00;-;-;4517,03;-;-;604,93;604,93;112;3,7;1;3,33
"120020 Cruzeiro do Sul";384;384;349838,30;260934,64;-;-;88903,66;-;-;911,04;911,04;1316;3,4;21;5,47
