 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jul/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";154;154;111510,99;86947,54;-;-;24563,45;-;-;724,10;724,10;610;4,0;3;1,95
"110037 Alto Alegre dos Parecis";49;49;43933,96;35794,62;-;-;8139,34;-;-;896,61;896,61;187;3,8;2;4,08
"110040 Alto Paraíso";66;66;98785,24;83928,90;-;-;14856,34;-;-;1496,75;1496,75;362;5,5;3;4,55
"110034 Alvorada D'Oeste";43;43;37017,22;30093,87;-;-;6923,35;-;-;860,87;860,87;215;5,0;3;6,98
"110002 Ariquemes";507;507;883889,71;733543,38;-;-;150346,33;-;-;1743,37;1743,37;2029;4,0;15;2,96
"110045 Buritis";149;149;135869,78;112180,60;-;-;23689,18;-;-;911,88;911,88;599;4,0;5;3,36
"110003 Cabixi";35;35;58463,65;48730,96;-;-;9732,69;-;-;1670,39;1670,39;138;3,9;5;14,29
"110060 Cacaulândia";15;15;22529,27;19021,42;-;-;3507,85;-;-;1501,95;1501,95;78;5,2;-;-
"110004 Cacoal";386;386;389269,46;307166,84;-;-;82102,62;-;-;1008,47;1008,47;1867;4,8;28;7,25
"110070 Campo Novo de Rondônia";21;21;26340,45;21665,90;-;-;4674,55;-;-;1254,31;1254,31;60;2,9;1;4,76
"110080 Candeias do Jamari";114;114;249948,11;211829,52;-;-;38118,59;-;-;2192,53;2192,53;769;6,7;7;6,14
"110090 Castanheiras";6;6;4615,84;3527,59;-;-;1088,25;-;-;769,31;769,31;24;4,0;-;-
"110005 Cerejeiras";67;67;55468,63;45788,35;-;-;9680,28;-;-;827,89;827,89;234;3,5;3;4,48
