 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";140;140;145635,30;118366,72;-;-;27268,58;-;-;1040,25;1040,25;507;3,6;8;5,71
"110037 Alto Alegre dos Parecis";52;52;50823,61;41622,26;-;-;9201,35;-;-;977,38;977,38;183;3,5;1;1,92
"110040 Alto Paraíso";74;74;178451,99;150930,03;-;-;27521,96;-;-;2411,51;2411,51;406;5,5;6;8,11
"110034 Alvorada D'Oeste";47;47;38404,47;30666,44;-;-;7738,03;-;-;817,12;817,12;241;5,1;2;4,26
"110002 Ariquemes";519;519;826184,96;691595,51;-;-;134589,45;-;-;1591,88;1591,88;2111;4,1;28;5,39
"110045 Buritis";149;149;228186,09;192493,96;-;-;35692,13;-;-;1531,45;1531,45;646;4,3;5;3,36
"110003 Cabixi";25;25;14687,49;11926,34;-;-;2761,15;-;-;587,50;587,50;107;4,3;3;12,00
"110060 Cacaulândia";8;8;7926,50;6447,15;-;-;1479,35;-;-;990,81;990,81;18;2,3;1;12,50
"110004 Cacoal";370;370;444400,15;355572,79;-;-;88827,36;-;-;1201,08;1201,08;1732;4,7;31;8,38
"110070 Campo Novo de Rondônia";29;29;33025,43;26013,86;-;-;7011,57;-;-;1138,81;1138,81;123;4,2;2;6,90
