 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Set/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";146;146;107690,96;86385,96;-;-;21305,00;-;-;737,61;737,61;519;3,6;6;4,11
"110037 Alto Alegre dos Parecis";51;51;43378,40;33611,04;-;-;9767,36;-;-;850,56;850,56;216;4,2;3;5,88
"110040 Alto Paraíso";57;57;141805,87;122764,27;-;-;19041,60;-;-;2487,82;2487,82;299;5,2;3;5,26
"110034 Alvorada D'Oeste";57;57;38063,31;30201,98;-;-;7861,33;-;-;667,78;667,78;246;4,3;4;7,02
"110002 Ariquemes";184;184;301653,45;250447,48;-;-;51205,97;-;-;1639,42;1639,42;1027;5,6;8;4,35
"110045 Buritis";145;145;213877,35;178294,36;-;-;35582,99;-;-;1475,02;1475,02;820;5,7;5;3,45
"110003 Cabixi";30;30;15563,79;10571,33;-;-;4992,46;-;-;518,79;518,79;63;2,1;-;-
"110060 Cacaulândia";9;9;8561,61;7677,13;-;-;884,48;-;-;951,29;951,29;54;6,0;1;11,11
"110004 Cacoal";317;317;337764,35;244971,76;-;-;92792,59;-;-;1065,50;1065,50;1110;3,5;12;3,79
"110070 Campo Novo de Rondônia";34;34;31195,05;26554,49;-;-;4640,56;-;-;917,50;917,50;137;4,0;3;8,82
"110080 Candeias do Jamari";168;168;210469,02;169789,87;-;-;40679,15;-;-;1252,79;1252,79;842;5,0;7;4,17
"110090 Castanheiras";10;10;8321,80;6307,11;-;-;2014,69;-;-;832,18;832,18;73;7,3;1;10,00
"110005 Cerejeiras";76;76;94577,09;73366,84;-;-;21210,25;-;-;1244,44;1244,44;339;4,5;2;2,63
"110092 Chupinguaia";26;26;29376,89;22590,65;-;-;6786,24;-;-;1129,88;1129,88;102;3,9;1;3,85
"110006 Colorado do Oeste";66;66;52732,81;42443,32;-;-;10289,49;-;-;798,98;798,98;266;4,0;3;4,55
"110007 Corumbiara";15;15;11294,34;8877,80;-;-;2416,54;-;-;752,96;752,96;49;3,3;1;6,67
"110008 Costa Marques";26;26;46126,25;37140,19;-;-;8986,06;-;-;1774,09;1774,09;108;4,2;1;3,85
"110094 Cujubim";68;68;40515,14;31859,98;-;-;8655,16;-;-;595,81;595,81;227;3,3;-;-
"110009 Espigão D'Oeste";147;147;91665,38;73092,60;-;-;18572,78;-;-;623,57;623,57;528;3,6;3;2,04
"110100 Governador Jorge Teixeira";11;11;7455,05;5407,58;-;-;2047,47;-;-;677,73;677,73;28;2,5;-;-
"110010 Guajará-Mirim";286;286;334404,97;270430,73;-;-;63974,24;-;-;1169,25;1169,25;1377;4,8;10;3,50
"110110 Itapuã do Oeste";42;42;52650,55;42156,32;-;-;10494,23;-;-;1253,58;1253,58;217;5,2;2;4,76
"110011 Jaru";280;280;320840,83;262252,61;-;-;58588,22;-;-;1145,86;1145,86;938;3,4;10;3,57
"110012 Ji-Paraná";543;543;635383,82;504879,19;-;-;130504,63;-;-;1170,14;1170,14;2031;3,7;23;4,24
"110013 Machadinho D'Oeste";203;203;195595,89;158728,79;-;-;36867,10;-;-;963,53;963,53;901;4,4;4;1,97
"110120 Ministro Andreazza";27;27;20448,15;16075,51;-;-;4372,64;-;-;757,34;757,34;161;6,0;2;7,41
"110130 Mirante da Serra";31;31;31119,03;26168,14;-;-;4950,89;-;-;1003,84;1003,84;155;5,0;1;3,23
"110140 Monte Negro";52;52;45985,27;38156,51;-;-;7828,76;-;-;884,33;884,33;177;3,4;4;7,69
