 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";133;133;119966,00;91848,09;-;-;28117,91;-;-;902,00;902,00;534;4,0;2;1,50
"110037 Alto Alegre dos Parecis";47;47;32589,77;24767,58;-;-;7822,19;-;-;693,40;693,40;182;3,9;2;4,26
"110040 Alto Paraíso";36;36;62574,50;53295,38;-;-;9279,12;-;-;1738,18;1738,18;260;7,2;1;2,78
"110034 Alvorada D'Oeste";25;25;21370,43;16818,25;-;-;4552,18;-;-;854,82;854,82;96;3,8;-;-
"110002 Ariquemes";132;132;245575,69;199831,64;-;-;45744,05;-;-;1860,42;1860,42;939;7,1;8;6,06
"110045 Buritis";106;106;150342,47;120556,49;-;-;29785,98;-;-;1418,33;1418,33;561;5,3;6;5,66
"110003 Cabixi";41;41;19322,19;15282,12;-;-;4040,07;-;-;471,27;471,27;133;3,2;-;-
"110060 Cacaulândia";4;4;5843,32;4887,13;-;-;956,19;-;-;1460,83;1460,83;13;3,3;1;25,00
"110004 Cacoal";404;404;315802,92;244139,22;-;-;71663,70;-;-;781,69;781,69;1973;4,9;17;4,21
"110070 Campo Novo de Rondônia";10;10;18004,57;15003,50;-;-;3001,07;-;-;1800,46;1800,46;37;3,7;1;10,00
"110080 Candeias do Jamari";92;92;98350,11;80366,66;-;-;17983,45;-;-;1069,02;1069,02;668;7,3;4;4,35
"110090 Castanheiras";11;11;31447,18;27503,73;-;-;3943,45;-;-;2858,83;2858,83;180;16,4;2;18,18
"110005 Cerejeiras";96;96;50411,63;39046,59;-;-;11365,04;-;-;525,12;525,12;429;4,5;1;1,04
"110092 Chupinguaia";33;33;33165,65;24706,59;-;-;8459,06;-;-;1005,02;1005,02;169;5,1;1;3,03
"110006 Colorado do Oeste";81;81;56855,25;45773,48;-;-;11081,77;-;-;701,92;701,92;359;4,4;7;8,64
"110007 Corumbiara";30;30;26417,60;19740,90;-;-;6676,70;-;-;880,59;880,59;102;3,4;1;3,33
