 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";197;197;91431,64;71821,68;-;-;19609,96;-;-;464,12;464,12;645;3,3;3;1,52
"110037 Alto Alegre dos Parecis";67;67;34967,96;27750,75;-;-;7217,21;-;-;521,91;521,91;244;3,6;-;-
"110040 Alto Paraíso";64;64;39269,44;32081,73;-;-;7187,71;-;-;613,59;613,59;291;4,5;-;-
"110034 Alvorada D'Oeste";34;34;55805,35;41021,87;-;-;14783,48;-;-;1641,33;1641,33;201;5,9;2;5,88
"110002 Ariquemes";563;563;576049,16;472278,06;-;-;103771,10;-;-;1023,18;1023,18;2684;4,8;16;2,84
"110045 Buritis";146;146;118690,32;95818,32;-;-;22872,00;-;-;812,95;812,95;856;5,9;3;2,05
"110003 Cabixi";48;48;24629,04;20072,73;-;-;4556,31;-;-;513,11;513,11;187;3,9;1;2,08
"110060 Cacaulândia";14;14;67244,32;58180,66;-;-;9063,66;-;-;4803,17;4803,17;140;10,0;1;7,14
"110004 Cacoal";556;556;416648,46;327322,57;-;-;89325,89;-;-;749,37;749,37;2814;5,1;29;5,22
"110070 Campo Novo de Rondônia";17;17;13446,62;11319,90;-;-;2126,72;-;-;790,98;790,98;65;3,8;-;-
"110080 Candeias do Jamari";107;107;114494,98;90802,49;-;-;23692,49;-;-;1070,05;1070,05;857;8,0;2;1,87
"110090 Castanheiras";17;17;6798,82;5152,54;-;-;1646,28;-;-;399,93;399,93;43;2,5;-;-
"110005 Cerejeiras";136;136;55428,24;43576,96;-;-;11851,28;-;-;407,56;407,56;453;3,3;2;1,47
"110092 Chupinguaia";37;37;54321,32;37841,28;-;-;16480,04;-;-;1468,14;1468,14;265;7,2;1;2,70
