 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";197;197;93474,87;76607,12;-;-;16867,75;-;-;474,49;474,49;646;3,3;2;1,02
"110037 Alto Alegre dos Parecis";68;68;39174,36;28773,12;-;-;10401,24;-;-;576,09;576,09;278;4,1;-;-
"110040 Alto Paraíso";89;89;72530,00;59591,39;-;-;12938,61;-;-;814,94;814,94;443;5,0;2;2,25
"110034 Alvorada D'Oeste";61;61;29194,88;22516,28;-;-;6678,60;-;-;478,60;478,60;218;3,6;5;8,20
"110002 Ariquemes";594;594;534143,86;426801,47;-;-;107342,39;-;-;899,23;899,23;2289;3,9;13;2,19
"110045 Buritis";117;117;134554,19;110993,76;-;-;23560,43;-;-;1150,04;1150,04;580;5,0;6;5,13
"110003 Cabixi";53;53;26795,22;21540,77;-;-;5254,45;-;-;505,57;505,57;169;3,2;1;1,89
"110060 Cacaulândia";14;14;15403,71;12034,35;-;-;3369,36;-;-;1100,26;1100,26;104;7,4;2;14,29
"110004 Cacoal";450;450;328194,96;253780,58;-;-;74414,38;-;-;729,32;729,32;2159;4,8;8;1,78
"110070 Campo Novo de Rondônia";42;42;66905,22;58063,68;-;-;8841,54;-;-;1592,98;1592,98;154;3,7;-;-
"110080 Candeias do Jamari";93;93;169046,00;137872,00;-;-;31174,00;-;-;1817,70;1817,70;656;7,1;4;4,30
"110090 Castanheiras";9;9;5308,84;3986,70;-;-;1322,14;-;-;589,87;589,87;39;4,3;1;11,11
"110005 Cerejeiras";146;146;64158,30;49307,13;-;-;14851,17;-;-;439,44;439,44;515;3,5;2;1,37
"110092 Chupinguaia";38;38;22362,63;16057,46;-;-;6305,17;-;-;588,49;588,49;166;4,4;1;2,63
"110006 Colorado do Oeste";98;98;54178,92;43168,06;-;-;11010,86;-;-;552,85;552,85;364;3,7;5;5,10
"110007 Corumbiara";19;19;10851,22;7517,75;-;-;3333,47;-;-;571,12;571,12;73;3,8;-;-
"110008 Costa Marques";51;51;35817,45;28635,19;-;-;7182,26;-;-;702,30;702,30;161;3,2;1;1,96
"110094 Cujubim";70;70;65416,81;53101,71;-;-;12315,10;-;-;934,53;934,53;215;3,1;2;2,86
"110009 Espigão D'Oeste";215;215;158755,96;132628,02;-;-;26127,94;-;-;738,40;738,40;910;4,2;6;2,79
"110100 Governador Jorge Teixeira";17;17;14230,75;10472,71;-;-;3758,04;-;-;837,10;837,10;96;5,6;-;-
"110010 Guajará-Mirim";272;272;236962,81;190708,99;-;-;46253,82;-;-;871,19;871,19;1451;5,3;7;2,57
"110110 Itapuã do Oeste";22;22;22762,53;19915,76;-;-;2846,77;-;-;1034,66;1034,66;236;10,7;3;13,64
"110011 Jaru";326;326;281549,55;228166,47;-;-;53383,08;-;-;863,65;863,65;1259;3,9;10;3,07
"110012 Ji-Paraná";522;522;388015,91;303425,84;-;-;84590,07;-;-;743,33;743,33;2207;4,2;21;4,02
"110013 Machadinho D'Oeste";237;237;312889,52;260359,05;-;-;52530,47;-;-;1320,21;1320,21;1008;4,3;5;2,11
"110120 Ministro Andreazza";35;35;22804,52;19181,59;-;-;3622,93;-;-;651,56;651,56;254;7,3;1;2,86
"110130 Mirante da Serra";55;55;42674,49;34351,05;-;-;8323,44;-;-;775,90;775,90;212;3,9;1;1,82
"110140 Monte Negro";62;62;48188,51;39561,74;-;-;8626,77;-;-;777,23;777,23;333;5,4;3;4,84
"110014 Nova Brasilândia D'Oeste";118;118;73944,36;59329,22;-;-;14615,14;-;-;626,65;626,65;428;3,6;2;1,69
"110033 Nova Mamoré";132;132;109829,51;92321,75;-;-;17507,76;-;-;832,04;832,04;744;5,6;1;0,76
"110143 Nova União";15;15;14511,24;11388,44;-;-;3122,80;-;-;967,42;967,42;44;2,9;-;-
"110050 Novo Horizonte do Oeste";58;58;58101,95;49171,62;-;-;8930,33;-;-;1001,76;1001,76;216;3,7;-;-
"110015 Ouro Preto do Oeste";63;63;123212,18;95913,81;-;-;27298,37;-;-;1955,75;1955,75;403;6,4;4;6,35
"110145 Parecis";36;36;11440,01;7439,64;-;-;4000,37;-;-;317,78;317,78;52;1,4;-;-
"110018 Pimenta Bueno";344;344;126564,67;101906,35;-;-;24658,32;-;-;367,92;367,92;722;2,1;3;0,87
"110146 Pimenteiras do Oeste";23;23;7962,28;6006,54;-;-;1955,74;-;-;346,19;346,19;63;2,7;-;-
"110020 Porto Velho";2463;2463;2870718,40;2282736,40;-;-;587982,00;-;-;1165,54;1165,54;14107;5,7;76;3,09
"110025 Presidente Médici";79;79;49584,07;39228,68;-;-;10355,39;-;-;627,65;627,65;219;2,8;4;5,06
"110147 Primavera de Rondônia";17;17;8601,02;6308,02;-;-;2293,00;-;-;505,94;505,94;52;3,1;1;5,88
"110026 Rio Crespo";18;18;5735,61;3683,60;-;-;2052,01;-;-;318,64;318,64;29;1,6;-;-
"110028 Rolim de Moura";423;423;296291,97;227585,71;-;-;68706,26;-;-;700,45;700,45;1662;3,9;6;1,42
"110029 Santa Luzia D'Oeste";78;78;37219,90;30649,78;-;-;6570,12;-;-;477,18;477,18;367;4,7;2;2,56
"110148 São Felipe D'Oeste";12;12;24518,07;21322,08;-;-;3195,99;-;-;2043,17;2043,17;62;5,2;1;8,33
"110149 São Francisco do Guaporé";75;75;43547,72;33255,99;-;-;10291,73;-;-;580,64;580,64;245;3,3;3;4,00
"110032 São Miguel do Guaporé";147;147;66967,16;53035,73;-;-;13931,43;-;-;455,56;455,56;415;2,8;3;2,04
"110150 Seringueiras";68;68;103027,64;89445,56;-;-;13582,08;-;-;1515,11;1515,11;255;3,8;-;-
"110155 Teixeirópolis";13;13;14243,14;11637,57;-;-;2605,57;-;-;1095,63;1095,63;32;2,5;-;-
"110160 Theobroma";41;41;42670,09;34548,95;-;-;8121,14;-;-;1040,73;1040,73;171;4,2;1;2,44
"110170 Urupá";40;40;27329,50;22626,46;-;-;4703,04;-;-;683,24;683,24;131;3,3;2;5,00
"110175 Vale do Anari";17;17;13339,24;11268,18;-;-;2071,06;-;-;784,66;784,66;115;6,8;1;5,88
"110180 Vale do Paraíso";24;24;14603,90;11871,05;-;-;2732,85;-;-;608,50;608,50;85;3,5;2;8,33
"110030 Vilhena";792;792;497067,91;382304,99;-;-;114762,92;-;-;627,61;627,61;3366;4,3;19;2,40
"120001 Acrelândia";47;47;33604,62;25802,72;-;-;7801,90;-;-;714,99;714,99;247;5,3;2;4,26
"120005 Assis Brasil";101;101;37628,03;29340,01;-;-;8288,02;-;-;372,55;372,55;338;3,3;1;0,99
"120010 Brasiléia";161;161;118742,01;86001,04;-;-;32740,97;-;-;737,53;737,53;708;4,4;7;4,35
"120013 Bujari";26;26;17495,28;11647,39;-;-;5847,89;-;-;672,90;672,90;132;5,1;-;-
"120017 Capixaba";34;34;34139,03;22858,84;-;-;11280,19;-;-;1004,09;1004,09;151;4,4;2;5,88
"120020 Cruzeiro do Sul";523;523;350944,57;269137,43;-;-;81807,14;-;-;671,02;671,02;2228;4,3;18;3,44
"120025 Epitaciolândia";75;75;47038,25;36539,13;-;-;10499,12;-;-;627,18;627,18;325;4,3;3;4,00
"120030 Feijó";50;50;31496,21;24031,59;-;-;7464,62;-;-;629,92;629,92;212;4,2;1;2,00
"120032 Jordão";10;10;11492,80;9509,51;-;-;1983,29;-;-;1149,28;1149,28;71;7,1;-;-
"120033 Mâncio Lima";56;56;27437,64;20765,50;-;-;6672,14;-;-;489,96;489,96;193;3,4;2;3,57
"120034 Manoel Urbano";72;72;47462,16;37444,87;-;-;10017,29;-;-;659,20;659,20;430;6,0;1;1,39
"120035 Marechal Thaumaturgo";51;51;35528,98;25979,68;-;-;9549,30;-;-;696,65;696,65;278;5,5;-;-
"120038 Plácido de Castro";105;105;73837,81;56592,58;-;-;17245,23;-;-;703,22;703,22;618;5,9;1;0,95
"120080 Porto Acre";51;51;41548,85;32311,49;-;-;9237,36;-;-;814,68;814,68;239;4,7;3;5,88
"120039 Porto Walter";32;32;43304,76;30545,36;-;-;12759,40;-;-;1353,27;1353,27;131;4,1;-;-
"120040 Rio Branco";1877;1880;2373693,59;1874625,49;-;-;499068,10;-;-;1262,60;1264,62;10846;5,8;80;4,26
"120042 Rodrigues Alves";68;68;30866,16;22787,34;-;-;8078,82;-;-;453,91;453,91;262;3,9;2;2,94
"120043 Santa Rosa do Purus";14;14;10964,62;9111,15;-;-;1853,47;-;-;783,19;783,19;155;11,1;2;14,29
"120050 Sena Madureira";230;230;115520,58;91150,63;-;-;24369,95;-;-;502,26;502,26;1122;4,9;5;2,17
"120045 Senador Guiomard";99;99;78577,66;61928,90;-;-;16648,76;-;-;793,71;793,71;502;5,1;4;4,04
"120060 Tarauacá";169;169;169440,72;142075,10;-;-;27365,62;-;-;1002,61;1002,61;549;3,2;3;1,78
"120070 Xapuri";124;124;84044,29;66465,00;-;-;17579,29;-;-;677,78;677,78;543;4,4;7;5,65
"130002 Alvarães";59;59;23322,13;18947,95;-;-;4374,18;-;-;395,29;395,29;255;4,3;2;3,39
"130006 Amaturá";9;9;3816,25;2548,04;-;-;1268,21;-;-;424,03;424,03;37;4,1;-;-
"130008 Anamã";15;15;13107,88;9607,51;-;-;3500,37;-;-;873,86;873,86;78;5,2;-;-
"130010 Anori";62;62;30310,08;23238,57;-;-;7071,51;-;-;488,87;488,87;235;3,8;-;-
"130014 Apuí";68;68;36443,67;27485,54;-;-;8958,13;-;-;535,94;535,94;299;4,4;1;1,47
"130020 Atalaia do Norte";45;45;32725,76;26572,49;-;-;6153,27;-;-;727,24;727,24;181;4,0;-;-
"130030 Autazes";112;112;59644,74;42991,03;-;-;16653,71;-;-;532,54;532,54;405;3,6;3;2,68
"130040 Barcelos";90;90;60949,91;48106,98;-;-;12842,93;-;-;677,22;677,22;409;4,5;1;1,11
"130050 Barreirinha";56;56;42637,30;33443,81;-;-;9193,49;-;-;761,38;761,38;267;4,8;2;3,57
"130060 Benjamin Constant";186;186;86280,74;60586,47;-;-;25694,27;-;-;463,87;463,87;580;3,1;1;0,54
"130063 Beruri";59;59;29422,71;19699,74;-;-;9722,97;-;-;498,69;498,69;152;2,6;1;1,69
"130068 Boa Vista do Ramos";87;87;35627,82;27793,71;-;-;7834,11;-;-;409,52;409,52;285;3,3;3;3,45
"130070 Boca do Acre";245;245;104518,10;82051,44;-;-;22466,66;-;-;426,60;426,60;939;3,8;4;1,63
"130080 Borba";222;222;99472,06;76017,91;-;-;23454,15;-;-;448,07;448,07;550;2,5;1;0,45
"130083 Caapiranga";75;75;33062,76;25224,65;-;-;7838,11;-;-;440,84;440,84;192;2,6;-;-
"130090 Canutama";51;51;27093,20;21419,21;-;-;5673,99;-;-;531,24;531,24;153;3,0;1;1,96
"130100 Carauari";130;130;89232,92;65777,15;-;-;23455,77;-;-;686,41;686,41;555;4,3;1;0,77
"130110 Careiro";125;125;108498,42;86028,80;-;-;22469,62;-;-;867,99;867,99;454;3,6;4;3,20
"130115 Careiro da Várzea";26;26;49525,59;41967,22;-;-;7558,37;-;-;1904,83;1904,83;162;6,2;1;3,85
"130120 Coari";354;354;218765,88;160042,35;-;-;58723,53;-;-;617,98;617,98;1415;4,0;9;2,54
"130130 Codajás";87;87;51510,22;39527,68;-;-;11982,54;-;-;592,07;592,07;416;4,8;1;1,15
"130140 Eirunepé";156;156;68519,43;53866,84;-;-;14652,59;-;-;439,23;439,23;428;2,7;3;1,92
"130150 Envira";12;12;20268,50;16126,71;-;-;4141,79;-;-;1689,04;1689,04;107;8,9;-;-
"130160 Fonte Boa";119;119;54338,57;40394,51;-;-;13944,06;-;-;456,63;456,63;445;3,7;6;5,04
"130165 Guajará";72;72;29240,52;23166,36;-;-;6074,16;-;-;406,12;406,12;236;3,3;1;1,39
"130170 Humaitá";249;249;240761,59;188944,06;-;-;51817,53;-;-;966,91;966,91;1151;4,6;8;3,21
"130180 Ipixuna";19;19;13324,60;10577,95;-;-;2746,65;-;-;701,29;701,29;143;7,5;-;-
"130185 Iranduba";140;140;154115,34;128371,83;-;-;25743,51;-;-;1100,82;1100,82;824;5,9;5;3,57
"130190 Itacoatiara";361;361;293519,85;212363,11;-;-;81156,74;-;-;813,07;813,07;1400;3,9;10;2,77
"130195 Itamarati";4;4;4399,11;3617,24;-;-;781,87;-;-;1099,78;1099,78;20;5,0;-;-
"130200 Itapiranga";33;33;19590,51;14601,74;-;-;4988,77;-;-;593,65;593,65;114;3,5;2;6,06
"130210 Japurá";42;42;16077,41;12091,22;-;-;3986,19;-;-;382,80;382,80;136;3,2;1;2,38
"130220 Juruá";5;5;4914,69;4162,19;-;-;752,50;-;-;982,94;982,94;46;9,2;1;20,00
"130230 Jutaí";11;11;11698,47;10101,25;-;-;1597,22;-;-;1063,50;1063,50;116;10,5;3;27,27
"130240 Lábrea";116;116;80578,15;62441,52;-;-;18136,63;-;-;694,64;694,64;630;5,4;-;-
"130250 Manacapuru";472;472;310140,84;225568,89;-;-;84571,95;-;-;657,08;657,08;1595;3,4;13;2,75
"130255 Manaquiri";54;54;23482,98;17898,28;-;-;5584,70;-;-;434,87;434,87;203;3,8;1;1,85
"130260 Manaus";9104;9105;11859153,74;9349980,42;-;-;2509173,32;-;-;1302,49;1302,63;56813;6,2;443;4,87
"130270 Manicoré";169;169;110880,59;81854,06;-;-;29026,53;-;-;656,10;656,10;671;4,0;6;3,55
"130280 Maraã";11;11;4853,39;3755,62;-;-;1097,77;-;-;441,22;441,22;59;5,4;-;-
"130290 Maués";233;233;145870,87;102967,84;-;-;42903,03;-;-;626,06;626,06;736;3,2;5;2,15
"130300 Nhamundá";57;57;23044,21;15852,42;-;-;7191,79;-;-;404,28;404,28;196;3,4;1;1,75
"130310 Nova Olinda do Norte";14;14;18848,02;15801,83;-;-;3046,19;-;-;1346,29;1346,29;92;6,6;-;-
"130320 Novo Airão";48;48;35090,47;26993,56;-;-;8096,91;-;-;731,05;731,05;185;3,9;-;-
