 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";202;202;147407,19;116606,04;-;-;30801,15;-;-;729,74;729,74;721;3,6;5;2,48
"110037 Alto Alegre dos Parecis";79;79;52520,93;44733,02;-;-;7787,91;-;-;664,82;664,82;343;4,3;2;2,53
"110040 Alto Paraíso";73;73;120313,06;99942,13;-;-;20370,93;-;-;1648,12;1648,12;386;5,3;2;2,74
"110034 Alvorada D'Oeste";79;79;37150,33;29485,33;-;-;7665,00;-;-;470,26;470,26;214;2,7;-;-
"110002 Ariquemes";609;609;633986,11;517633,97;2087,19;-;113123,55;-;-;1041,03;1041,03;2520;4,1;12;1,97
"110045 Buritis";82;82;120672,03;97313,29;-;-;23358,74;-;-;1471,61;1471,61;422;5,1;2;2,44
"110003 Cabixi";42;42;17926,73;14077,09;-;-;3849,64;-;-;426,83;426,83;166;4,0;-;-
"110060 Cacaulândia";22;22;48010,34;40290,73;-;-;7719,61;-;-;2182,29;2182,29;166;7,5;-;-
"110004 Cacoal";562;562;410060,31;324334,36;-;-;85725,95;-;-;729,64;729,64;2413;4,3;23;4,09
"110070 Campo Novo de Rondônia";35;35;33533,80;24881,82;-;-;8651,98;-;-;958,11;958,11;146;4,2;1;2,86
"110080 Candeias do Jamari";139;139;191387,43;157038,38;-;-;34349,05;-;-;1376,89;1376,89;973;7,0;2;1,44
"110090 Castanheiras";12;12;13539,14;11146,03;-;-;2393,11;-;-;1128,26;1128,26;53;4,4;1;8,33
