,ano,sigla_uf,id_municipio,consumo_anual_uf
13,2004,RO,1100015,1344908.3
14,2005,RO,1100015,1439326.0
15,2006,RO,1100015,1523904.0
16,2007,RO,1100015,1633805.0
17,2008,RO,1100015,1749852.0
18,2009,RO,1100015,1913755.0
19,2010,RO,1100015,2184581.0
20,2011,RO,1100015,2377847.0
21,2012,RO,1100015,2826148.0
22,2013,RO,1100015,2930424.0
23,2014,RO,1100015,3031531.0
24,2015,RO,1100015,3033049.0
25,2016,RO,1100015,2944371.0
26,2017,RO,1100015,3066940.0
27,2018,RO,1100015,3153177.08
28,2019,RO,1100015,3247614.58
29,2020,RO,1100015,3387627.0300000003
30,2021,RO,1100015,1584155.42
1547,2004,AC,1200013,415795.58
1548,2005,AC,1200013,457378.5199999999
1549,2006,AC,1200013,504766.8
1550,2007,AC,1200013,541318.0
1551,2008,AC,1200013,582603.0
1552,2009,AC,1200013,621266.0
1553,2010,AC,1200013,673251.3599999999
1554,2011,AC,1200013,728364.86
1555,2012,AC,1200013,821983.7100000001
1556,2013,AC,1200013,844110.6300000001
1557,2014,AC,1200013,886560.0
1558,2015,AC,1200013,973737.0
1559,2016,AC,1200013,1014245.0
1560,2017,AC,1200013,1074277.0
1561,2018,AC,1200013,978831.39
1562,2019,AC,1200013,1080992.28
1563,2020,AC,1200013,1102569.96
1564,2021,AC,1200013,525328.8400000001
2220,2004,AM,1300029,3525109.6100000003
2221,2005,AM,1300029,3744631.6399999997
2222,2006,AM,1300029,3924445.0300000003
2223,2007,AM,1300029,4135656.0
2224,2008,AM,1300029,4355963.0
2225,2009,AM,1300029,4361756.0
2226,2010,AM,1300029,4815239.0
2227,2011,AM,1300029,5085352.0
2228,2012,AM,1300029,5596326.0
2229,2013,AM,1300029,5966223.0
2230,2014,AM,1300029,6275225.0
2231,2015,AM,1300029,6357216.0
2232,2016,AM,1300029,5990565.0
2233,2017,AM,1300029,5852472.0
2234,2018,AM,1300029,5966425.619999999
2235,2019,AM,1300029,6141975.0
2236,2020,AM,1300029,6208128.109999999
2237,2021,AM,1300029,2917092.52
4137,2004,RR,1400027,369887.41
4138,2005,RR,1400027,379556.89
4139,2006,RR,1400027,381930.79000000004
4140,2007,RR,1400027,425294.0
4141,2008,RR,1400027,449998.0
4142,2009,RR,1400027,491253.0
4143,2010,RR,1400027,542696.0
4144,2011,RR,1400027,586999.0
4145,2012,RR,1400027,661925.0
4146,2013,RR,1400027,705117.0
4147,2014,RR,1400027,801664.0
4148,2015,RR,1400027,883031.49
4149,2016,RR,1400027,915100.0
4150,2017,RR,1400027,917813.0
4151,2018,RR,1400027,945438.4599999998
4152,2019,RR,1400027,932089.8
4153,2020,RR,1400027,975304.76
4154,2021,RR,1400027,502832.5900000001
4572,2004,PA,1500107,12748429.169999998
4573,2005,PA,1500107,13047766.88
4574,2006,PA,1500107,13651742.84
4575,2007,PA,1500107,14432521.0
4576,2008,PA,1500107,14930966.0
4577,2009,PA,1500107,14767254.0
4578,2010,PA,1500107,15793909.0
4579,2011,PA,1500107,16652637.0
4580,2012,PA,1500107,16648088.0
4581,2013,PA,1500107,16972009.0
4582,2014,PA,1500107,18406153.0
4583,2015,PA,1500107,19337094.89
4584,2016,PA,1500107,20108743.6
4585,2017,PA,1500107,20293458.0
4586,2018,PA,1500107,18030105.95
4587,2019,PA,1500107,18191677.41
4588,2020,PA,1500107,19524675.99
4589,2021,PA,1500107,10345601.23
8916,2004,AP,1600055,501434.0
8917,2005,AP,1600055,563908.5
8918,2006,AP,1600055,600871.25
8919,2007,AP,1600055,625922.0
8920,2008,AP,1600055,667443.0
8921,2009,AP,1600055,708257.0
8922,2010,AP,1600055,785874.0
8923,2011,AP,1600055,825072.0
8924,2012,AP,1600055,881936.0
8925,2013,AP,1600055,960896.0
8926,2014,AP,1600055,1014621.0
8927,2015,AP,1600055,1055721.0
8928,2016,AP,1600055,1114396.0
8929,2017,AP,1600055,1073095.0
8930,2018,AP,1600055,1053678.1900000002
8931,2019,AP,1600055,1074205.74
8932,2020,AP,1600055,1018817.94
8933,2021,AP,1600055,549809.0
9401,2004,TO,1700251,882699.56
9402,2005,TO,1700251,931944.5599999999
9403,2006,TO,1700251,964305.1599999999
9404,2007,TO,1700251,1055558.0
9405,2008,TO,1700251,1136257.0
9406,2009,TO,1700251,1219458.0
9407,2010,TO,1700251,1426164.0
9408,2011,TO,1700251,1502865.0
9409,2012,TO,1700251,1612345.0
9410,2013,TO,1700251,1816902.0
9411,2014,TO,1700251,1947897.0
9412,2015,TO,1700251,2074755.0
9413,2016,TO,1700251,2178070.0
9414,2017,TO,1700251,2232216.0
9415,2018,TO,1700251,2308381.5799999996
9416,2019,TO,1700251,2418085.3800000004
9417,2020,TO,1700251,2453201.22
9418,2021,TO,1700251,1215001.64
13587,2004,MA,2100055,8919932.52
13588,2005,MA,2100055,9220406.15
13589,2006,MA,2100055,10129506.21
13590,2007,MA,2100055,10716948.0
13591,2008,MA,2100055,10965811.98
13592,2009,MA,2100055,10793787.0
13593,2010,MA,2100055,11613215.0
13594,2011,MA,2100055,12052756.0
13595,2012,MA,2100055,11699797.0
13596,2013,MA,2100055,10999197.0
13597,2014,MA,2100055,8700114.0
13598,2015,MA,2100055,7037798.0
13599,2016,MA,2100055,6823586.0
13600,2017,MA,2100055,6904708.0
13601,2018,MA,2100055,7099230.93
13602,2019,MA,2100055,7511254.74
13603,2020,MA,2100055,7717759.000000001
13604,2021,MA,2100055,3785998.04
19904,2004,PI,2200053,1507089.2
19905,2005,PI,2200053,1613678.0
19906,2006,PI,2200053,1654741.0
19907,2007,PI,2200053,1751050.0
19908,2008,PI,2200053,1843015.0
19909,2009,PI,2200053,1903228.0
19910,2010,PI,2200053,2225664.0
19911,2011,PI,2200053,2392555.0
19912,2012,PI,2200053,2734312.0
19913,2013,PI,2200053,2891679.0
19914,2014,PI,2200053,3086365.0
19915,2015,PI,2200053,3293086.0
