Internações,cod_uf,uf,data
2153,35,São Paulo,2008-01-01
1156,29,Bahia,2008-01-01
1193,31,Minas Gerais,2008-01-01
679,33,Rio de Janeiro,2008-01-01
489,26,Pernambuco,2008-01-01
731,23,Ceará,2008-01-01
599,41,Paraná,2008-01-01
600,15,Pará,2008-01-01
349,43,Rio Grande do Sul,2008-01-01
434,21,Maranhão,2008-01-01
416,42,Santa Catarina,2008-01-01
138,13,Amazonas,2008-01-01
237,52,Goiás,2008-01-01
343,25,Paraíba,2008-01-01
209,22,Piauí,2008-01-01
280,27,Alagoas,2008-01-01
272,28,Sergipe,2008-01-01
169,24,Rio Grande do Norte,2008-01-01
193,32,Espírito Santo,2008-01-01
116,53,Distrito Federal,2008-01-01
179,51,Mato Grosso,2008-01-01
222,50,Mato Grosso do Sul,2008-01-01
138,17,Tocantins,2008-01-01
205,16,Amapá,2008-01-01
75,11,Rondônia,2008-01-01
26,12,Acre,2008-01-01
88,14,Roraima,2008-01-01
2800,35,São Paulo,2008-02-01
1640,29,Bahia,2008-02-01
1499,31,Minas Gerais,2008-02-01
816,33,Rio de Janeiro,2008-02-01
904,26,Pernambuco,2008-02-01
915,23,Ceará,2008-02-01
660,41,Paraná,2008-02-01
791,15,Pará,2008-02-01
800,43,Rio Grande do Sul,2008-02-01
593,21,Maranhão,2008-02-01
582,42,Santa Catarina,2008-02-01
418,13,Amazonas,2008-02-01
406,52,Goiás,2008-02-01
399,25,Paraíba,2008-02-01
361,22,Piauí,2008-02-01
346,27,Alagoas,2008-02-01
353,28,Sergipe,2008-02-01
198,24,Rio Grande do Norte,2008-02-01
293,32,Espírito Santo,2008-02-01
326,53,Distrito Federal,2008-02-01
247,51,Mato Grosso,2008-02-01
220,50,Mato Grosso do Sul,2008-02-01
190,17,Tocantins,2008-02-01
141,16,Amapá,2008-02-01
71,11,Rondônia,2008-02-01
61,12,Acre,2008-02-01
-,14,Roraima,2008-02-01
2892,35,São Paulo,2008-03-01
1560,29,Bahia,2008-03-01
1601,31,Minas Gerais,2008-03-01
1134,33,Rio de Janeiro,2008-03-01
796,26,Pernambuco,2008-03-01
1041,23,Ceará,2008-03-01
608,41,Paraná,2008-03-01
769,15,Pará,2008-03-01
808,43,Rio Grande do Sul,2008-03-01
584,21,Maranhão,2008-03-01
525,42,Santa Catarina,2008-03-01
461,13,Amazonas,2008-03-01
415,52,Goiás,2008-03-01
400,25,Paraíba,2008-03-01
290,22,Piauí,2008-03-01
301,27,Alagoas,2008-03-01
322,28,Sergipe,2008-03-01
183,24,Rio Grande do Norte,2008-03-01
230,32,Espírito Santo,2008-03-01
372,53,Distrito Federal,2008-03-01
252,51,Mato Grosso,2008-03-01
205,50,Mato Grosso do Sul,2008-03-01
179,17,Tocantins,2008-03-01
181,16,Amapá,2008-03-01
63,11,Rondônia,2008-03-01
127,12,Acre,2008-03-01
156,14,Roraima,2008-03-01
3000,35,São Paulo,2008-04-01
1722,29,Bahia,2008-04-01
1398,31,Minas Gerais,2008-04-01
1072,33,Rio de Janeiro,2008-04-01
1142,26,Pernambuco,2008-04-01
944,23,Ceará,2008-04-01
565,41,Paraná,2008-04-01
756,15,Pará,2008-04-01
681,43,Rio Grande do Sul,2008-04-01
660,21,Maranhão,2008-04-01
396,42,Santa Catarina,2008-04-01
459,13,Amazonas,2008-04-01
334,52,Goiás,2008-04-01
360,25,Paraíba,2008-04-01
296,22,Piauí,2008-04-01
345,27,Alagoas,2008-04-01
304,28,Sergipe,2008-04-01
177,24,Rio Grande do Norte,2008-04-01
200,32,Espírito Santo,2008-04-01
321,53,Distrito Federal,2008-04-01
191,51,Mato Grosso,2008-04-01
132,50,Mato Grosso do Sul,2008-04-01
141,17,Tocantins,2008-04-01
34,16,Amapá,2008-04-01
75,11,Rondônia,2008-04-01
53,12,Acre,2008-04-01
79,14,Roraima,2008-04-01
3201,35,São Paulo,2008-05-01
1530,29,Bahia,2008-05-01
1534,31,Minas Gerais,2008-05-01
1254,33,Rio de Janeiro,2008-05-01
903,26,Pernambuco,2008-05-01
880,23,Ceará,2008-05-01
607,41,Paraná,2008-05-01
698,15,Pará,2008-05-01
549,43,Rio Grande do Sul,2008-05-01
571,21,Maranhão,2008-05-01
491,42,Santa Catarina,2008-05-01
353,13,Amazonas,2008-05-01
319,52,Goiás,2008-05-01
334,25,Paraíba,2008-05-01
281,22,Piauí,2008-05-01
293,27,Alagoas,2008-05-01
295,28,Sergipe,2008-05-01
209,24,Rio Grande do Norte,2008-05-01
233,32,Espírito Santo,2008-05-01
496,53,Distrito Federal,2008-05-01
185,51,Mato Grosso,2008-05-01
215,50,Mato Grosso do Sul,2008-05-01
138,17,Tocantins,2008-05-01
16,16,Amapá,2008-05-01
95,11,Rondônia,2008-05-01
77,12,Acre,2008-05-01
75,14,Roraima,2008-05-01
3008,35,São Paulo,2008-06-01
2089,29,Bahia,2008-06-01
1787,31,Minas Gerais,2008-06-01
1243,33,Rio de Janeiro,2008-06-01
877,26,Pernambuco,2008-06-01
952,23,Ceará,2008-06-01
